Depth,PHIS_SS,SP_NRM,AI,Freq,Amp,Phase
3772.0,0.392,-71.569,13340.0,8.07,6196.99,-115.85
3793.5,0.398,-77.367,3973.75,7.87,5776.81,-53.48
3815.0,0.388,-64.169,-11148.18,7.23,5405.99,6.25
3837.0,0.373,-69.582,-19167.64,5.76,5602.24,58.8
3858.5,0.381,-68.678,-13081.96,4.24,6450.31,95.72
3880.0,0.382,-62.513,-290.62,4.48,7964.88,124.57
3901.5,0.362,-62.397,8814.81,5.72,9352.01,165.26
3923.0,0.379,-71.969,14804.25,6.24,10383.91,-146.73
3944.5,0.386,-74.616,15773.46,6.17,11255.81,-97.91
3966.0,0.378,-53.431,4826.4,5.84,11892.99,-50.98
3987.5,0.402,3.955,-13077.38,5.5,11997.62,-7.24
4009.0,0.38,-58.823,-22318.71,5.49,11354.59,34.42
4031.0,0.395,-63.336,-15736.58,5.67,9968.65,77.92
4052.5,0.382,-72.223,2206.32,5.23,8474.96,122.47
4074.0,0.377,-70.164,19470.81,4.12,7415.48,159.04
4095.5,0.384,-72.302,21226.85,4.38,6690.51,-173.62
4117.0,0.389,-62.645,10022.9,6.02,6084.93,-133.0
4138.5,0.383,-49.719,-3001.53,6.85,5700.96,-80.24
4160.0,0.415,1.87,-14459.29,6.62,5605.93,-26.65
4181.5,0.377,-49.365,-18844.3,6.4,5806.81,22.5
4203.0,0.522,0.531,-13063.11,6.84,6451.1,72.72
4225.0,0.349,-25.74,-1532.36,7.44,7176.9,128.63
4246.5,0.375,-68.29,12357.37,7.72,7804.44,-171.86
4268.0,0.36,-70.806,22025.08,7.65,8368.58,-111.52
4289.5,0.412,1.203,16138.04,7.27,8972.65,-53.15
4311.0,0.338,4.478,-3245.56,6.89,9616.23,1.32
4332.5,0.391,-62.11,-19235.7,6.88,10648.37,53.85
4354.0,0.291,-9.517,-20813.53,7.05,11825.8,108.04
4375.5,0.378,-16.241,-6246.78,7.03,12656.78,163.34
4397.0,0.366,2.002,15650.54,6.71,13009.5,-142.84
4419.0,0.395,4.845,24253.17,6.22,12980.15,-92.52
4440.5,0.356,-26.928,9961.26,5.79,12649.19,-46.29
4462.0,0.368,-39.888,-12725.58,5.69,12020.45,-2.61
4483.5,0.412,13.028,-24090.74,5.98,10727.11,41.95
4505.0,0.408,7.087,-16499.55,6.46,8627.72,90.17
4526.5,0.355,-7.228,4885.79,13.6,6339.41,142.22
4548.0,0.369,-61.147,21960.21,13.92,4681.18,-58.79
4569.5,0.523,-9.504,18179.4,10.53,4498.14,61.19
4591.0,0.381,-73.806,1997.61,4.85,5651.01,104.6
4613.0,0.382,-74.639,-8776.96,3.95,7192.15,136.45
4634.5,0.383,-71.173,-10780.9,4.39,8160.57,165.98
4656.0,0.374,-72.146,-6046.28,5.37,8330.45,-155.36
4677.5,0.378,-64.796,2117.58,5.7,7779.69,-110.74
4699.0,0.317,-66.023,3830.16,5.1,6844.56,-66.85
4720.5,0.355,-4.925,-2510.61,3.26,6006.5,-31.63
4742.0,0.415,2.215,-5602.61,1.29,5549.8,-16.23
4763.5,0.525,0.713,-852.68,1.32,5225.75,-11.59
4785.0,0.237,4.458,5144.02,2.43,4972.76,4.29
4807.0,0.342,-16.059,6847.65,2.79,4647.67,26.05
4828.5,0.302,-27.019,4477.54,2.97,4234.15,47.62
4850.0,0.336,-19.518,446.25,3.65,3986.46,72.14
4871.5,0.372,-68.615,-3226.62,4.34,4047.54,104.25
4893.0,0.363,-36.541,-3691.66,4.4,4242.29,139.45
4914.5,0.399,-2.525,-1208.76,4.04,4345.38,172.56
4936.0,0.408,9.872,553.96,2.02,4265.93,-157.88
5001.0,0.287,-16.633,-3116.55,4.85,4951.45,-165.44
5022.5,0.34,-76.865,2218.9,5.69,5521.75,-122.28
5044.0,0.246,-66.933,6677.0,5.82,6083.35,-77.1
5065.5,0.315,-62.224,3527.01,5.67,6370.26,-31.89
5087.0,0.362,6.28,-4169.47,5.29,6198.89,10.95
5108.5,0.325,-62.292,-6988.08,5.27,5491.93,50.26
5130.0,0.313,6.359,-2723.57,6.31,4371.05,92.72
